MODEL,REACH,MARKETING_NAME,VENDOR,PRICE_RELEASED,YEAR_RELEASED,MONTH_RELEASED,TIME_RELEASED,DIAGONAL_SCREEN_SIZE,CAMERA_PIXELS,DISPLAY_HEIGHT,DISPLAY_WIDTH,AGE,Cluster_km7,Cluster_km8,Cluster_km10,Cluster_km12,Cluster_hclust7,Cluster_hclust8,Cluster_hclust10,Cluster_hclust12,ClusterScrCam_km7,ClusterScrCam_km8,ClusterScrCam_km10,ClusterScrCam_km12,ClusterScrCam_hclust7,ClusterScrCam_hclust8,ClusterScrCam_hclust10,ClusterScrCam_hclust12,ClusterScr_km7,ClusterScr_km8,ClusterScr_km10,ClusterScr_km12,ClusterScr_hclust7,ClusterScr_hclust8,ClusterScr_hclust10,ClusterScr_hclust12
R2001,386446,yoyo,oppo,200.0,2014.0,5.0,2014.416666666667,4.7,5.0,960.0,540.0,2.7499999999997726,1,1,0,7,2,2,2,2,2,5,0,5,0,0,5,11,6,5,4,1,2,2,2,0
SM-G925F,378869,galaxy s6 edge,samsung,600.0,2015.0,4.0,2015.333333333333,5.1,16.0,2560.0,1440.0,1.8333333333337123,6,3,2,8,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,5
SM-N9005,367117,galaxy note 3 4g lte,samsung,420.0,2013.0,9.0,2013.75,5.7,13.0,1920.0,1080.0,3.4166666666667425,2,6,7,2,1,0,4,0,4,0,1,1,3,3,3,3,5,2,3,5,6,6,6,6
Iris 750,341419,iris 750,,80.0,2015.0,,2015.5,4.5,8.0,854.0,480.0,1.6666666666667425,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,9,0,7,7,7
SM-J510FN,336682,galaxy j5,samsung,250.0,2016.0,4.0,2016.333333333333,5.2,13.0,1280.0,720.0,0.8333333333337123,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
GT-S7582L,333457,galaxy trend pro dual,samsung,130.0,2013.0,12.0,2014.0,4.0,2.0,800.0,480.0,3.1666666666667425,1,1,0,11,2,2,2,2,3,5,0,5,0,0,5,11,6,5,5,8,3,1,4,1
GT-I9300,321452,galaxy s3,samsung,300.0,2012.0,4.0,2012.333333333333,4.8,8.0,1280.0,720.0,4.833333333333712,4,5,8,9,0,1,3,1,4,0,8,9,5,5,0,2,5,2,1,6,5,5,5,2
GT-S7582,310667,galaxy s duos 2,samsung,130.0,2013.0,12.0,2014.0,4.0,5.0,800.0,480.0,3.1666666666667425,1,1,0,11,0,3,1,7,3,5,0,5,0,0,5,11,6,5,5,8,3,1,4,1
Iris 800,309119,iris 800,lava,80.0,2015.0,,2015.5,5.0,5.0,854.0,480.0,1.6666666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
X9009,294935,r9,oppo,350.0,2016.0,3.0,2016.25,5.5,13.0,1920.0,1080.0,0.9166666666667425,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
i-Style 7.7 DTV,294042,i-style 7.7 dtv,i-mobile,130.0,2014.0,,2014.5,4.0,5.0,800.0,480.0,2.6666666666667425,1,1,0,11,2,2,2,2,2,5,0,5,0,0,5,11,6,5,5,9,2,2,2,0
SM-E700F,291151,galaxy e7,samsung,270.0,2015.0,2.0,2015.166666666667,5.5,13.0,1280.0,720.0,1.9999999999997726,3,4,1,6,1,0,4,0,1,2,3,4,4,4,4,1,2,0,7,1,0,3,3,3
A11w,273907,joy 3,oppo,130.0,2015.0,8.0,2015.666666666667,4.5,5.0,854.0,480.0,1.4999999999997726,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
Smart 4.0,272017,smart 4.0,true,80.0,2014.0,,2014.5,4.0,5.0,800.0,480.0,2.6666666666667425,1,1,0,11,2,2,2,2,2,5,0,5,0,0,5,11,6,5,5,9,2,2,2,0
A33F,269511,neo 7,oppo,240.0,2015.0,11.0,2015.916666666667,5.0,8.0,960.0,540.0,1.2499999999997726,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,2,0,7,7,0,3,3,3
A51f,268969,mirror 5s,oppo,220.0,2015.0,8.0,2015.666666666667,5.0,8.0,1280.0,720.0,1.4999999999997726,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,0,2,11,0,3,3,3
SM-G920F,266560,galaxy s6,samsung,500.0,2015.0,4.0,2015.333333333333,5.1,16.0,2560.0,1440.0,1.8333333333337123,6,3,2,8,3,7,7,3,5,4,1,8,3,3,3,3,4,1,9,5,4,4,1,5
SM-J120H,262830,galaxy j1 (2016),samsung,130.0,2016.0,1.0,2016.083333333333,4.5,5.0,854.0,480.0,1.0833333333337123,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
ZB551KL,261706,zenfone go,asus,150.0,2015.0,5.0,2015.416666666667,5.5,13.0,1280.0,720.0,1.7499999999997726,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
ZC550KL (Z010D),261552,zenfone max,asus,170.0,2016.0,5.0,2016.416666666667,5.5,13.0,1280.0,720.0,0.7499999999997726,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
CAM-L21,258577,y6ii,huawei,140.0,2016.0,10.0,2016.833333333333,5.5,13.0,1280.0,720.0,0.3333333333337123,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
SM-G355H,242467,galaxy core ii,samsung,130.0,2014.0,7.0,2014.583333333333,4.5,5.0,800.0,480.0,2.5833333333337123,1,1,0,11,2,2,2,2,2,5,0,5,1,1,1,0,6,5,5,9,2,2,2,0
