MODEL, MARKETING_NAME, VENDOR, DISPLAY_HEIGHT, DISPLAY_WIDTH, CAMERA_PIXELS, YEAR_RELEASED, DIAGONAL_SCREEN_SIZE, REACH
A463BG,onetouch pixi glitz,alcatel,1920,1200,2,2015,3.97,15
Spira B1,spira b1,argos,1280,800,13,2015,10.1,15
SM-T537A,galaxy tab 4 10.1,at&t,800,1280,3.2,2014,10.1,15
Eluga S,eluga s,panasonic,1280,720,8,2014,5,14
U5 Wind,u5 wind,unistar,1280,720,5,2013,5,14
Leelbox,leelbox,mxq,NULL,NULL,NULL,2015,NULL,14
GT-I5503,galaxy 5,samsung,320,240,2,2010,2.8,14
6039J,one touch idol 3,alcatel,1280,720,13,2015,4.7,14
L-02D,prada,lg,800,480,8,2011,4.3,14
Q705U,q705u,zte,1280,720,5,2014,5.7,14
HWA580,hwa580,hugiga,800,480,8,2012,5.1,14
Eluga I,eluga i,panasonic,1280,720,8,2014,5,14
V8403,v8403,zte,480,320,NULL,2012,3.61,14
Discovery 2 Mini,discovery 2 mini,general mobile,854,480,8,2014,4.5,14
Diamond 2 Plus,diamond 2 plus,archos,1920,1080,20,2016,5.5,14
Ultra Plus,ultra plus,blackview,1280,720,13,2016,5.5,14
Smart E4,smart e4,efox,1280,720,13,2014,5,14
F451s,f451s,fly,960,540,8,2013,4.5,14
A1P,axon pro,zte,2560,1440,13,2015,5.8,14
X6-00,x6-00,nokia,640,360,5,2009,3.2,14
D2406,xperia m2 aqua,sony,960,540,8,2014,4.8,14
D370,l series iii l80,lg,800,480,5,2014,5,14
IM-A870VN,vega iron,pantech,1280,720,13,2013,5,14
Neo Z64,neo z64,minix,NULL,NULL,NULL,2015,NULL,14
Dash X,dash x,blu,1280,720,8,2015,5,14
L39h,xperia z1,sony,1920,1080,20.7,2013,5,14
