"MODEL","MARKETING_NAME","VENDOR","DISPLAY_HEIGHT","DISPLAY_WIDTH","CAMERA_PIXELS","YEAR_RELEASED","DIAGONAL_SCREEN_SIZE","REACH"
"m330","m330","infocus","1280","720","13","2015","5.5",92
"me865","atrix","motorola","960","540","NULL","2011","4.3",92
"im-a900k","vega secret up","pantech","1920","1080","13","2014","5.6",92
"f-02h","arrows nx","docomo","2560","1440","21","2015","5.4",92
"sch-i705","galaxy tab 2 7.0 4g lte","verizon","1024","600","3.15","2012","7",91
"7270","7270","coolpad","854","480","5","2014","5",91
"xplay5a","xplay5","vivo","2560","1440","16","2016","5.43",90
"sm-n7508v","galaxy note 3 neo","verizon","1280","720","8","2014","5.5",90
"elite x3 telstra","elite x3 telstra","hp","2560","1440","2","2016","5.96",90
"e2033","xperia e4g dual","sony","960","540","5","2015","4.7",90
"e610","optimus l5","lg","480","320","5","2012","4",90
"e730","optimus sol","lg","800","480","NULL","2011","3.81",90
"p505r","phoenix","lg","480","320","NULL","2011","3.2",89
"k580","x cam","lg","1920","1080","13","2016","5.2",89
"403sh","aquos crystal x 2","softbank","1280","720","8","2015","5.2",89
"sh-01h","aquos zeta","docomo","1920","1080","NULL","2015","5.3",89
"blade l5","blade l5","zte","1280","720","8","2015","5",89
"s6000l-f","s6000l","lenovo","800","1280","0.3","2013","10.1",89
"yp-gp1","galaxy player 5.8","samsung","960","540","3.15","2012","5.8",89
"vision 2","vision 2","tolino","1024","758","NULL","2015","6",89
"k4000","k4000","oukitel","1280","720","8","2015","5",88
"gt-s7583t","galaxy s duos 2","samsung","800","480","5","2013","4",88
"e510f","optimus univa","lg","480","320","NULL","2011","3.5",88
"le x527","le 2","leeco","1920","1080","8","2016","5.5",88
"che2-tl00","honor 4x","huawei","1280","720","13","2014","5.5",88
"mk906","mini tv box","unknown","NULL","NULL","NULL","2013","NULL",88
"sh-08e","aquos pad","docomo","1920","1200","8.1","2013","7",88
"ot-p310a","one touch pop 7","alcatel","600","1024","2","2014","7",88
"sgh-i897","captivate","samsung","800","480","5","2010","4",87
"785","smart 4 mini","vodafone","800","480","3.2","2014","4",87
"cink peax","cink peax","wiko","960","540","8","2013","4.51",87
"d6000","d6000","innos","1920","1080","16","2015","5.2",87
"503hw","lumiere","huawei","1280","720","13","2015","5",87
"hv-t727g","hv-t727g","havit","600","1024","2","2013","7",87
"301f","arrows a","softbank","1920","1080","13.1","2013","5",87
"f160lv","optimus lte 2","lg","1280","720","8","2012","4.7",87
"sgh-i777","galaxy s2","samsung","800","480","8","2011","4.28",87
"h788n","aka","lg","1280","720","8","2015","5",87
"caz-tl10","nova","huawei","1920","1080","12","2016","5",87
"sm-g928w8","galaxy s6 edge plus","samsung","2560","1440","16","2015","5.7",87
"f-03g","arrows tab","docomo","1600","2560","8.1","2014","10.5",87
"f180","optimus g","lg","1280","768","13","2014","4.7",87
"note ds6","note ds6","linio","960","480","8","2016","6",87
"iron","iron","umi","1920","1080","13","2015","5.5",87
"d290","l fino","lg","800","480","8","2014","4.5",87
"te508s1","tab pc","lavie","800","1280","5","2014","10.1",86
"elite 1","elite 1","leagoo","1920","1080","16","2015","5",86
"d820pi","desire 820","htc","1280","720","13","2015","5.5",86
"w8470","wizard quadra hd","polytron","1280","720","8","2014","4.7",86
"d2-0082","ascend d2","huawei","1920","1080","13","2013","5",86
"v970m","grand x","zte","960","540","NULL","2012","4.3",86
"ascend p7 mini","ascend p7 mini","huawei","960","540","8","2014","4.5",86
"a560","a560","lenovo","854","480","2","2012","5",86
"life one x2","life one x2","blu","1920","1080","16","2016","5.2",85
"shv31","aquos serie mini","kddi","1920","1080","13","2015","4.5",85
"be touch 2","be touch 2","ulefone","1920","1080","13","2015","5.5",85
"lgv32","lgv32","lg","2560","1440","16","2015","5.5",85
"n880","blade","zte","800","480","NULL","2011","3.49",85
"tx5 pro","tx5 pro","tanix","NULL","NULL","NULL","2016","NULL",85
"sm-g9008w","galaxy s5 duos","samsung","1920","1080","16","2014","5.1",85
"xt1045","moto g","motorola","1280","720","5","2014","4.5",85
"vs990","v10","lg","2560","1440","16","2015","5.7",85
"us991","g4","lg","2560","1440","16","2015","5.5",85
"im-a900l","vega secret up","pantech","1920","1080","13","2013","5.6",85
"e72","e72","nokia","240","320","5","2009","2.37",85
"f670l","k10","lg","1280","720","13","2016","5.3",85
"vivo 5","vivo 5","blu","1280","720","13","2016","5.5",84
"f3211","xperia xa ultra","sony","1920","1080","21.5","2016","6",84
"desire 820q","desire 820q","htc","1280","720","13","2014","5.5",84
"h959","g flex 2","lg","1920","1080","13","2015","5.5",84
"x405","x405","xtouch","800","480","5","2014","4",84
"ot-6012e","one touch idol mini dual","alcatel","854","480","5","2013","4.3",84
"che-tl00h","honor 4x","huawei","1280","720","13","2015","5.5",84
"xt1096","moto x 2nd gen","verizon","1920","1080","13","2014","5.2",84
"rm-835","lumia 610","nokia","800","480","5","2012","3.7",84
"alfa 6","alfa 6","leagoo","854","480","5","2015","4.5",83
"gt-i8200l","galaxy s3 mini","samsung","800","480","5","2014","4",83
"e350","liquid gallant e350","acer","960","540","NULL","2012","4.3",83
"im-a910k","vega iron 2","pantech","1920","1080","13","2014","5.3",83
"s8-701u","mediapad t1 8.0","huawei","1280","800","5","2014","8",83
"xt1565","droid maxx 2","motorola","1920","1080","21","2015","5.5",82
"y51a","y51a","vivo","960","540","8","2015","5",82
"vivo xl","vivo xl","blu","1280","720","13","2016","5.5",82
"x907","finder","oppo","800","480","NULL","2012","4.3",82
"xt1069","moto g 2nd gen","motorola","1280","720","8","2014","5",82
"life s5004","life s5004","medion","1280","720","13","2016","5",82
"p310x","one touch pop 7","alcatel","1024","600","2","2013","7",82
"pfd_s805","pfd_s805","mbx","720","1280","NULL","2015","9.18",82
"d5788","xperia j1 compact","sony","1280","720","21","2015","4.3",82
"z981","z981","zte","1920","1280","8","2016","13.8",82
"d950","g flex","lg","1280","720","13","2014","6",82
"sm-a500w","galaxy a5","samsung","1280","720","13","2014","5",82
"shv-e150s","galaxy tab 7.7 lte","samsung","800","1280","3.15","2012","7.7",82
"gt-888","gt-888","gt mobile","1280","720","8","2015","5.5",81
"a500l","a500l","xolo","800","480","3.15","2013","4",81
"x6a","x6","vivo","1920","1080","13","2015","5.2",81
"vs980","g2","lg","1920","1080","13","2013","5.2",81
"sm-t217a","galaxy tab 3 7.0","samsung","600","1024","3","2013","7",81
"l-01e","optimus g","lg","1280","768","13","2012","4.69",81
"c6-01","c6-01","nokia","640","360","NULL","2010","4.24",81
"y550-l02","ascend y550","huawei","854","480","5","2014","4.5",81
"sc-03d","galaxy s2 lte","docomo","800","480","8","2011","4.51",81
"kyv35","torque g02","kddi","1280","720","13","2015","4.7",81
"st25a","xperia u","sony","854","480","5","2012","3.5",80
"f670k","k10","lg","1280","720","13","2016","5.3",80
"netscape navigator - os x","netscape navigator - os x","netscape","NULL","NULL","NULL","NULL","NULL",80
"p55","p55","panasonic","1280","720","13","2015","5.3",80
"s57","liquid jade z","acer","1280","720","13","2015","5",80
"shl23","aquos phone serie","kddi","1920","1080","15.9","2013","4.8",80
"rm-1027","lumia 636","microsoft","854","480","5","2014","4.5",80
"gt-i9192i","galaxy s4 mini duos","samsung","960","540","8","2013","4.3",80
"hs-e910","hs-e910","hisense","800","480","NULL","2011","4",80
"a3500-h","a7-50","lenovo","800","1280","5","2014","7",80
"sm-a510k","galaxy a5 (2016)","samsung","1920","1080","13","2015","5.2",80
"sm-n920r4","galaxy note 5","us cellular","2560","1440","16","2015","5.7",80
"e460","optimus l5 ii","lg","800","480","5","2013","4",79
"d700","optimus l9","sk telecom","960","540","5","2013","4.7",79
"london","london","umi","1280","720","13","2016","5",79
"pg76110","wildfire s","htc","480","320","5","2011","3.2",79
"h345","leon","lg","854","480","5","2015","4.5",79
"x3l","x3l","vivo","1280","720","8","2014","5",79
"sc-01e","sc-01e","docomo","1280","800","3","2012","7.7",79
"s890","s890","lenovo","960","540","8","2013","5.01",79
"8050g","one touch pixi 4 (6)","alcatel","1280","720","13","2016","6",79
"4400","4400","thl","1280","720","5","2014","5",79
"tf101g","eee pad transformer","asus","1280","800","5","2011","10.1",78
"sol21","xperia vl","kddi","1280","720","NULL","2012","4.29",78
"md700","md700","unknown","1024","600","2","2013","7",78
"everypad","everypad","yamada denki","600","1024","5","2013","7",78
"y511-u00","ascend","huawei","854","480","3.1","2013","4.2",78
"k70","k70","kingpad","600","1024","0.3","2015","7",78
"m350","m350","infocus","1280","720","8","2015","5",78
"e-tab4","e-tab4","general mobile","800","1280","2","2014","10.1",78
"a102","canvas doodle 3","micromax","854","480","5","2014","6",78
"s388","s388","philips","960","540","5","2014","4.5",78
"i-note wi-fi 9","i-note wi-fi 9","i-mobile","480","800","NULL","2012","9.06",78
"d6563","xperia z2a","sony","1920","1080","20.7","2014","5",78
"y540-u01","ascend y540","huawei","854","480","5","2015","5.6",78
